ticker,week_start,last_date,close,volume,vol_ma_5,price_ma_5,price_ma_20,volatility_20,future_alpha_5d,label_abs_alpha_gt_1pct,sec_event_count,sec_latest_filing_url,sec_filing_text_count,sec_filing_text,finnhub_event_count,finnhub_headline_sample,finnhub_summary_sample,finnhub_news_text,yahoo_event_count,yahoo_headline_sample,yahoo_summary_sample,yahoo_news_text,combined_event_text,has_text,text_source_count,event_text_char_count,label_alpha_positive,has_sec_filing,has_finnhub_news,has_yahoo_news,price_vs_ma_5,price_vs_ma_20,volume_vs_ma_5,week_of_year,month,days_from_start,predicted_alpha_score,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
DTE,2025-12-16,2025-12-22,127.3105926513672,1957700,2376560.0,127.6777084350586,129.6652416229248,0.009427457256796,0.0088760552181244,0,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0028753318663933,-0.0181594461405862,-0.1762463392466422,51,12,595,0.0,1,0.2,0.0088760552181244,0.00177521104362488,1,5,0,5,0,long,1
VMC,2025-12-23,2025-12-29,291.4678039550781,565600,552500.0,292.36211547851565,292.47040405273435,0.0113061764051125,0.021154202671461,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0030589172676281,-0.0034280394999401,0.023710407239819,52,12,602,0.0,1,0.2,0.021154202671461,0.0042308405342921995,1,5,0,5,0,long,1
WSM,2025-12-23,2025-12-29,185.81149291992188,703200,706760.0,187.5391357421875,183.68817062377929,0.013690172032677,0.0470287696028597,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0092121722510263,0.0115593850650921,-0.0050370705755843,52,12,602,0.0,1,0.2,0.0470287696028597,0.009405753920571941,1,5,0,5,0,long,1
AEE,2025-12-23,2025-12-29,99.58354949951172,923800,1112680.0,99.07102508544922,98.53555717468262,0.0100767841778814,-0.0021681294787425,0,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0051733028261335,0.0106356766519442,-0.169752309738649,52,12,602,0.0,1,0.2,-0.0021681294787425,-0.00043362589574850004,1,5,0,5,0,long,0
INVH,2025-12-23,2025-12-29,27.405649185180664,3261800,3363380.0,26.95909729003906,26.553536033630373,0.0126994078197142,0.0073186662673938,0,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.016564052213521,0.0320903833851387,-0.0302017613234305,52,12,602,0.0,1,0.2,0.0073186662673938,0.0014637332534787602,1,5,0,5,0,long,1
KVUE,2025-12-23,2025-12-29,16.994829177856445,22675900,22667400.0,16.929578399658205,16.915737628936768,0.0089205340041836,-0.0312552146192905,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0038542470850637,0.0046756192756489,0.0003749878680394,52,12,602,0.0,1,0.2,-0.0312552146192905,-0.0062510429238580995,1,5,0,5,0,long,0
QCOM,2025-12-30,2026-01-05,175.1852264404297,8972200,5518940.0,172.37725219726562,174.43107147216796,0.0132653927782177,-0.0508278165416129,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0162897030053053,0.0043235127887295,0.6257107343076751,1,12,609,0.0,1,0.2,-0.0508278165416129,-0.01016556330832258,1,5,0,5,0,long,0
KMI,2025-12-30,2026-01-05,27.63188934326172,17778500,10702580.0,27.346656799316406,26.82274055480957,0.011020491980758,-0.0460237078378074,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0104302528107362,0.0301665218286972,0.6611415191477195,1,12,609,0.0,1,0.2,-0.0460237078378074,-0.00920474156756148,1,5,0,5,0,long,0
ULTA,2025-12-30,2026-01-05,631.1500244140625,892200,507720.0,613.5460083007813,602.4285064697266,0.0309516716977065,0.0371726826906546,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.0286922510701936,0.0476762265329142,0.7572677853935239,1,12,609,0.0,1,0.2,0.0371726826906546,0.00743453653813092,1,5,0,5,0,long,1
PCG,2025-12-30,2026-01-05,16.083860397338867,23071300,13254860.0,16.04203701019287,15.514025497436524,0.0121940196902111,-0.0375565885972238,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0026071119970252,0.0367303057479504,0.7405917527608741,1,12,609,0.0,1,0.2,-0.0375565885972238,-0.007511317719444761,1,5,0,5,0,long,0
ATO,2025-12-30,2026-01-05,165.95787048339844,971300,619220.0,167.31631774902343,167.27205963134764,0.0098755521547618,-0.0065239269558534,0,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.008119036349238,-0.007856596916697,0.5685862859726754,1,12,609,0.0,1,0.2,-0.0065239269558534,-0.0013047853911706802,1,5,0,5,0,long,0
VST,2026-01-06,2026-01-12,172.34490966796875,7189100,8876520.0,162.51431579589843,163.4808090209961,0.0416684827446902,-0.0655211713619233,1,0,,0,,1,Hesai Says Co Selected By NVIDIA As Lidar Partner For NVIDIA DRIVE Hyperion 10,,Benzinga: Hesai Says Co Selected By NVIDIA As Lidar Partner For NVIDIA DRIVE Hyperion 10,0,,,,Benzinga: Hesai Says Co Selected By NVIDIA As Lidar Partner For NVIDIA DRIVE Hyperion 10,1,1,88,0,0,1,0,0.060490633233915,0.0542210471067232,-0.1900992731385723,2,1,616,0.0,1,0.2,-0.0655211713619233,-0.013104234272384661,1,5,0,5,0,long,0
BAX,2026-01-06,2026-01-12,20.14010238647461,11066800,11286380.0,20.5618953704834,19.558389091491694,0.0179654573490891,-0.0123565154069219,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0205133318893486,0.0297423930090425,-0.0194553080792956,2,1,616,0.0,1,0.2,-0.0123565154069219,-0.00247130308138438,1,5,0,5,0,long,0
RF,2026-01-06,2026-01-12,27.99090576171875,12024200,13440900.0,28.28606834411621,27.569952774047852,0.0108298035963206,0.0035637975709993,0,0,,0,,15,"Evercore ISI Group Downgrades Regions Finl to Underperform, Raises Price Target to $29",Evercore ISI Group analyst John Pancari downgrades Regions Finl (NYSE:RF) from In-Line to Underperform and raises the price target from $27 to $29.,"Yahoo: Regions Financial Announces David Turner to Retire, Anil Chadha to Serve as Chief Financial Officer BIRMINGHAM, Ala., January 12, 2026--Regions Financial Corp. announced Chief Financial Officer David Turner will retire on March 31. He will be succeeded as CFO by Anil Chadha of Regions. --- Benzinga: Top Stocks With Earnings This Week: TSMC, Big Banks And More The fourth-quarter earnings season gets underway this week with TSMC and the big banks set to report. --- Yahoo: Civista Bancshares And 2 Top Dividend Stocks For Your Portfolio In the current U.S. market landscape, major stock indexes are showing mixed performances amid heightened scrutiny of Federal Reserve actions and record highs in gold and silver prices. As investors navigate this complex environment, dividend stocks like Civista Bancshares offer a potential avenue for stability and income, making them an attractive consideration for those seeking to bolster their portfolios against economic uncertainties. --- Benzinga: Regions Financial CFO David Turner Will Retire, Effective March 31, Anil Chadha Named Successor Regions Financial Corp. (NYSE:RF) on Monday announced Chief Financial Officer David Turner will retire March 31 following a nearly 40-year career in auditing and finance, including 20 years of service at the bank. --- MarketWatch: Regions Financial Names Chadha CFO, Succeeding Turner Regions Financial Names Chadha CFO, Succeeding Turner --- Yahoo: Regions Financial Scheduled to Participate in Bank of America Securities Financial Services Conference BIRMINGHAM, Ala., January 12, 2026--Regions Financial Corp. announced the company is scheduled to participate in the Bank of America Securities Financial Services Conference on Feb. 11. --- Yahoo: Regions Financial (RF) Earnings Expected to Grow: What to Know Ahead of Next Week's Release Regions Financial (RF) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations. --- Yahoo: Is Regions Financial's (RF) Cost Discipline Quietly Redefining What Resilience Means for Regional Banks? In recent months, Regions Financial has drawn renewed attention as a regional bank emphasizing cost discipline, stable credit trends, and technology-driven efficiency initiatives amid a cautious sector backdrop. What stands out is how the bank’s focus on conservative risk management and operational streamlining is reshaping investor perceptions of regional lenders’ resilience. We’ll now examine how this renewed confidence in Regions Financial’s risk discipline and cost controls may... --- Yahoo: A Look At Regions Financial (RF) Valuation After Fresh Analyst Upgrades And Improving Fundamentals Regions Financial (RF) is back in focus after a fresh round of analyst upgrades that highlight positive operating leverage, improved returns, and expectations for multi-year fundamental improvements across its regional banking franchise. See our latest analysis for Regions Financial. Recent upgrades have arrived on the back of improving sentiment toward regional banks, with Regions Financial’s 30 day share price return of 9.25% and 90 day share price return of 13.52% signalling building... --- SeekingAlpha: 10 Predictions For 2026 The S&P 500 is expected to continue its ascent in 2026, supported by a sequential macroeconomic thesis. Click here to read the full analysis. --- Yahoo: Reflecting On Regional Banks Stocks’ Q3 Earnings: Regions Financial (NYSE:RF) As the Q3 earnings season wraps, let’s dig into this quarter’s best and worst performers in the regional banks industry, including Regions Financial (NYSE:RF) and its peers. --- Fintel: Evercore ISI Group Downgrades Regions Financial (RF) --- Yahoo: Regions Financial Corporation (RF) Hit a 52 Week High, Can the Run Continue? Regions Financial (RF) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues. --- SeekingAlpha: Regions Financial: Buybacks Could Be A Nice Crutch In 2026 Regions Financial stock has some favorable trends for 2026, but shares remain a ""Hold."" Click here to read an analysis of RF stock now. --- Benzinga: Evercore ISI Group Downgrades Regions Finl to Underperform, Raises Price Target to $29 Evercore ISI Group analyst John Pancari downgrades Regions Finl (NYSE:RF) from In-Line to Underperform and raises the price target from $27 to $29.",0,,,,"Yahoo: Regions Financial Announces David Turner to Retire, Anil Chadha to Serve as Chief Financial Officer BIRMINGHAM, Ala., January 12, 2026--Regions Financial Corp. announced Chief Financial Officer David Turner will retire on March 31. He will be succeeded as CFO by Anil Chadha of Regions. --- Benzinga: Top Stocks With Earnings This Week: TSMC, Big Banks And More The fourth-quarter earnings season gets underway this week with TSMC and the big banks set to report. --- Yahoo: Civista Bancshares And 2 Top Dividend Stocks For Your Portfolio In the current U.S. market landscape, major stock indexes are showing mixed performances amid heightened scrutiny of Federal Reserve actions and record highs in gold and silver prices. As investors navigate this complex environment, dividend stocks like Civista Bancshares offer a potential avenue for stability and income, making them an attractive consideration for those seeking to bolster their portfolios against economic uncertainties. --- Benzinga: Regions Financial CFO David Turner Will Retire, Effective March 31, Anil Chadha Named Successor Regions Financial Corp. (NYSE:RF) on Monday announced Chief Financial Officer David Turner will retire March 31 following a nearly 40-year career in auditing and finance, including 20 years of service at the bank. --- MarketWatch: Regions Financial Names Chadha CFO, Succeeding Turner Regions Financial Names Chadha CFO, Succeeding Turner --- Yahoo: Regions Financial Scheduled to Participate in Bank of America Securities Financial Services Conference BIRMINGHAM, Ala., January 12, 2026--Regions Financial Corp. announced the company is scheduled to participate in the Bank of America Securities Financial Services Conference on Feb. 11. --- Yahoo: Regions Financial (RF) Earnings Expected to Grow: What to Know Ahead of Next Week's Release Regions Financial (RF) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations. --- Yahoo: Is Regions Financial's (RF) Cost Discipline Quietly Redefining What Resilience Means for Regional Banks? In recent months, Regions Financial has drawn renewed attention as a regional bank emphasizing cost discipline, stable credit trends, and technology-driven efficiency initiatives amid a cautious sector backdrop. What stands out is how the bank’s focus on conservative risk management and operational streamlining is reshaping investor perceptions of regional lenders’ resilience. We’ll now examine how this renewed confidence in Regions Financial’s risk discipline and cost controls may... --- Yahoo: A Look At Regions Financial (RF) Valuation After Fresh Analyst Upgrades And Improving Fundamentals Regions Financial (RF) is back in focus after a fresh round of analyst upgrades that highlight positive operating leverage, improved returns, and expectations for multi-year fundamental improvements across its regional banking franchise. See our latest analysis for Regions Financial. Recent upgrades have arrived on the back of improving sentiment toward regional banks, with Regions Financial’s 30 day share price return of 9.25% and 90 day share price return of 13.52% signalling building... --- SeekingAlpha: 10 Predictions For 2026 The S&P 500 is expected to continue its ascent in 2026, supported by a sequential macroeconomic thesis. Click here to read the full analysis. --- Yahoo: Reflecting On Regional Banks Stocks’ Q3 Earnings: Regions Financial (NYSE:RF) As the Q3 earnings season wraps, let’s dig into this quarter’s best and worst performers in the regional banks industry, including Regions Financial (NYSE:RF) and its peers. --- Fintel: Evercore ISI Group Downgrades Regions Financial (RF) --- Yahoo: Regions Financial Corporation (RF) Hit a 52 Week High, Can the Run Continue? Regions Financial (RF) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues. --- SeekingAlpha: Regions Financial: Buybacks Could Be A Nice Crutch In 2026 Regions Financial stock has some favorable trends for 2026, but shares remain a ""Hold."" Click here to read an analysis of RF stock now. --- Benzinga: Evercore ISI Group Downgrades Regions Finl to Underperform, Raises Price Target to $29 Evercore ISI Group analyst John Pancari downgrades Regions Finl (NYSE:RF) from In-Line to Underperform and raises the price target from $27 to $29.",1,1,4439,1,0,1,0,-0.0104349101758023,0.0152685422104585,-0.1054021680095826,2,1,616,0.0,1,0.2,0.0035637975709993,0.0007127595141998601,1,5,0,5,0,long,1
TPR,2026-01-06,2026-01-12,133.34251403808594,1556300,2142220.0,132.78800048828126,128.3439136505127,0.014114299171147,-0.0080997907764278,0,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0041759311667142,0.0389469219489808,-0.2735106571687314,2,1,616,0.0,1,0.2,-0.0080997907764278,-0.00161995815528556,1,5,0,5,0,long,0
JBL,2026-01-06,2026-01-12,230.50753784179688,1203900,1070360.0,225.40314636230468,226.79421157836913,0.029449762313384,0.095984338650588,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.0226456088207729,0.016373108632645,0.1247617623976979,2,1,616,0.0,1,0.2,0.095984338650588,0.0191968677301176,1,5,0,5,0,long,1
VICI,2026-01-13,2026-01-16,28.515907287597656,9501800,9059920.0,27.79759826660156,27.59243745803833,0.0089399376685076,-0.0176907190891346,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0258406864545248,0.0334682222606723,0.0487730575987426,3,1,623,0.0,1,0.2,-0.0176907190891346,-0.00353814381782692,1,5,0,5,0,long,0
O,2026-01-13,2026-01-16,60.62936782836914,7223400,6429640.0,59.34018325805664,56.96149196624756,0.0101849822414452,-0.0180795613666812,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.021725321688107,0.0643922013892293,0.1234532571030415,3,1,623,0.0,1,0.2,-0.0180795613666812,-0.00361591227333624,1,5,0,5,0,long,0
GEV,2026-01-13,2026-01-16,681.1381225585938,4986800,2939400.0,651.5699951171875,656.7697692871094,0.0259834331611855,-0.0243029667275677,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0453798174608826,0.0371033418574289,0.6965367081717357,3,1,623,0.0,1,0.2,-0.0243029667275677,-0.00486059334551354,1,5,0,5,0,long,0
IT,2026-01-13,2026-01-16,230.6699981689453,903500,923440.0,235.6139984130859,245.2689994812012,0.0190938909384884,0.0241483817532159,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0209834741460166,-0.0595224074103781,-0.0215931733518149,3,1,623,0.0,1,0.2,0.0241483817532159,0.00482967635064318,1,5,0,5,0,long,1
MTD,2026-01-13,2026-01-16,1460.6300048828125,188900,129900.0,1483.914013671875,1443.405499267578,0.0118790844173463,-0.0254075019557562,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0156909420455214,0.0119332409527153,0.4541955350269437,3,1,623,0.0,1,0.2,-0.0254075019557562,-0.00508150039115124,1,5,0,5,0,long,0
