ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
MRK,2025-07-29,2025-08-04,-0.0047450423340078,0,0.6304444019573002,1,-0.00516456029311596,0,-1,short,-51.6456029311596,-0.0047450423340078,47.450423340078004,-4471.851072388727,1,1
MS,2025-07-29,2025-08-04,0.0109530548287135,1,0.5861951566685897,1,-0.003178194091518828,0,-1,short,-31.781940915188283,0.0109530548287135,-109.530548287135,-4581.381620675862,1,0
MSFT,2025-07-29,2025-08-04,-0.0327679104603182,1,0.5766773234175759,1,0.0029107215270132336,1,1,long,29.107215270132336,-0.0327679104603182,-327.679104603182,-4909.060725279044,1,0
NFLX,2025-07-29,2025-08-04,0.0335365477549158,1,0.5930941346847025,1,-0.0036523752204915987,0,-1,short,-36.523752204915986,0.0335365477549158,-335.365477549158,-5244.426202828202,1,0
ORCL,2025-07-29,2025-08-04,-0.0062797605749522,0,0.5946876248772207,1,-0.003764579198061105,0,-1,short,-37.64579198061105,-0.0062797605749522,62.797605749522,-5181.62859707868,1,1
PG,2025-07-29,2025-08-04,0.0211177856328177,1,0.6089618033053271,1,-0.0035996397696534893,0,-1,short,-35.99639769653489,0.0211177856328177,-211.177856328177,-5392.806453406857,1,0
PM,2025-07-29,2025-08-04,0.0380982815602184,1,0.6228055138448273,1,-0.001911651931044553,0,-1,short,-19.11651931044553,0.0380982815602184,-380.98281560218396,-5773.789269009041,1,0
UNH,2025-07-29,2025-08-04,0.040391601422572,1,0.6275371451625549,1,0.021619264644108044,1,1,long,216.19264644108043,0.040391601422572,403.91601422571995,-5369.8732547833215,1,1
XOM,2025-07-29,2025-08-04,-0.0212167111304512,1,0.5944579060587988,1,-0.0027112548085003545,0,-1,short,-27.112548085003546,-0.0212167111304512,212.16711130451202,-5157.706143478809,1,1
ABBV,2025-08-05,2025-08-11,0.0280442041052533,1,0.6102002155641406,1,-0.0022747913566658943,0,-1,short,-22.747913566658944,0.0280442041052533,-280.442041052533,-5438.148184531342,1,0
AMD,2025-08-05,2025-08-11,0.0105280389707864,1,0.7915855696294777,1,-0.01787401652657626,0,-1,short,-178.7401652657626,0.0105280389707864,-105.28038970786399,-5543.428574239206,1,0
AVGO,2025-08-05,2025-08-11,-0.0057568070285012,0,0.5982689900650471,1,-0.004948105398016891,0,-1,short,-49.48105398016891,-0.0057568070285012,57.568070285012,-5485.8605039541935,1,1
BAC,2025-08-05,2025-08-11,0.0262507733411634,1,0.5683656397881507,1,-0.002636304406163266,0,-1,short,-26.36304406163266,0.0262507733411634,-262.50773341163404,-5748.368237365828,1,0
BRK.B,2025-08-05,2025-08-11,0.0177957442530152,1,0.5640564864721221,1,-0.0028336286783626095,0,-1,short,-28.336286783626097,0.0177957442530152,-177.957442530152,-5926.325679895979,1,0
