ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
BRK.B,2025-11-04,2025-11-10,0.0360569799859952,1,0.31839911782845964,0,0.01866271565969461,1,1,long,186.62715659694612,0.0360569799859952,360.56979985995196,-2621.188208091696,1,1
CAT,2025-11-04,2025-11-10,-0.0095127632256631,0,0.799213522241491,1,0.015107765248896066,1,1,long,151.07765248896067,-0.0095127632256631,-95.127632256631,-2716.315840348327,1,0
COST,2025-11-04,2025-11-10,0.0201767492530959,1,0.6007339188626425,1,0.02755211767462985,1,1,long,275.5211767462985,0.0201767492530959,201.767492530959,-2514.5483478173683,1,1
CSCO,2025-11-04,2025-11-10,0.1023498843320881,1,0.21635569522540143,0,0.08633414281332877,1,1,long,863.3414281332876,0.1023498843320881,1023.498843320881,-1491.0495044964873,1,1
CVX,2025-11-04,2025-11-10,0.0180881772221718,1,0.4140260937892364,0,0.03772840387656774,1,1,long,377.28403876567745,0.0180881772221718,180.881772221718,-1310.1677322747694,1,1
GE,2025-11-04,2025-11-10,-0.0144392075904392,1,0.3176356343635617,0,-0.05719486000882171,0,-1,short,-571.9486000882171,-0.0144392075904392,144.392075904392,-1165.7756563703774,1,1
GOOG,2025-11-04,2025-11-10,0.0062486651239659,0,0.07810839308036388,0,0.018220062579829673,1,1,long,182.20062579829673,0.0062486651239659,62.486651239659,-1103.2890051307184,1,1
GS,2025-11-04,2025-11-10,-0.0037243648393697,0,0.029834770099697483,0,0.04407093511453939,1,1,long,440.7093511453939,-0.0037243648393697,-37.243648393697,-1140.5326535244153,1,0
HD,2025-11-04,2025-11-10,-0.0100538742168678,1,0.3464786554071809,0,0.046348637414334204,1,1,long,463.48637414334206,-0.0100538742168678,-100.53874216867801,-1241.0713956930933,1,0
INTC,2025-11-04,2025-11-10,-0.0738485631491236,1,0.01903414781748658,0,-0.014269971116856107,0,-1,short,-142.69971116856107,-0.0738485631491236,738.485631491236,-502.5857642018574,1,1
JNJ,2025-11-04,2025-11-10,0.0827062566230635,1,0.16548775758177503,0,0.04494390534823981,1,1,long,449.4390534823981,0.0827062566230635,827.062566230635,324.47680202877757,1,1
KO,2025-11-04,2025-11-10,0.0256896257495758,1,0.7251833208508688,1,0.036118761511468596,1,1,long,361.18761511468597,0.0256896257495758,256.896257495758,581.3730595245356,1,1
LLY,2025-11-04,2025-11-10,0.0819331044957861,1,0.7080912356835879,1,0.09731290612929142,1,1,long,973.1290612929141,0.0819331044957861,819.331044957861,1400.7041044823966,1,1
LRCX,2025-11-04,2025-11-10,-0.090241639746695,1,0.7385803864573827,1,-0.026302004211587182,0,-1,short,-263.02004211587183,-0.090241639746695,902.41639746695,2303.1205019493464,1,1
MA,2025-11-04,2025-11-10,-0.0057135389909857,0,0.31715317112997876,0,-0.017275985380771394,0,-1,short,-172.75985380771394,-0.0057135389909857,57.135389909857004,2360.2558918592035,1,1
META,2025-11-04,2025-11-10,-0.0236700867267227,1,0.8900194571176955,1,-0.009787270724074345,0,-1,short,-97.87270724074345,-0.0236700867267227,236.70086726722698,2596.9567591264304,1,1
MRK,2025-11-04,2025-11-10,0.0938529481397597,1,0.5938305480284476,1,-0.016636859005938205,0,-1,short,-166.36859005938206,0.0938529481397597,-938.529481397597,1658.4272777288334,1,0
MS,2025-11-04,2025-11-10,-0.0105084955848634,1,0.12602634174662652,0,-0.03151143624171783,0,-1,short,-315.1143624171783,-0.0105084955848634,105.08495584863401,1763.5122335774674,1,1
MSFT,2025-11-04,2025-11-10,0.026365315454499,1,0.14371866145553414,0,-0.10118388587487648,0,-1,short,-1011.8388587487648,0.026365315454499,-263.65315454499,1499.8590790324774,1,0
NFLX,2025-11-04,2025-11-10,0.0080912351794074,0,0.6930954269297015,1,-0.014571128066003376,0,-1,short,-145.71128066003376,0.0080912351794074,-80.91235179407401,1418.9467272384034,1,0
ORCL,2025-11-04,2025-11-10,-0.0636531985037053,1,0.17294393644207806,0,0.015343973915702535,1,1,long,153.43973915702534,-0.0636531985037053,-636.5319850370529,782.4147422013505,1,0
PG,2025-11-04,2025-11-10,0.0256200743002873,1,0.5072927015820433,1,-0.016748463203502765,0,-1,short,-167.48463203502766,0.0256200743002873,-256.200743002873,526.2139991984775,1,0
PM,2025-11-04,2025-11-10,0.0085241105612778,0,0.9917744759287107,1,0.0736081397343099,1,1,long,736.081397343099,0.0085241105612778,85.241105612778,611.4551048112555,1,1
UNH,2025-11-04,2025-11-10,0.0201244289657221,1,0.004007604733339498,0,0.002099591791865696,1,1,long,20.995917918656957,0.0201244289657221,201.244289657221,812.6993944684765,1,1
XOM,2025-11-04,2025-11-10,0.027559521306384,1,0.016579801897556923,0,0.04963490544408708,1,1,long,496.3490544408708,0.027559521306384,275.59521306384,1088.2946075323166,1,1
ABBV,2025-11-11,2025-11-17,-0.0240903553329999,1,0.9930845819305065,1,0.011328134771674327,1,1,long,113.28134771674327,-0.0240903553329999,-240.903553329999,847.3910542023176,1,0
AMD,2025-11-11,2025-11-17,-0.1107978335345226,1,0.5846388341341655,1,0.032348571673762205,1,1,long,323.48571673762206,-0.1107978335345226,-1107.978335345226,-260.5872811429084,1,0
AVGO,2025-11-11,2025-11-17,0.0981474865292768,1,0.12690997551851313,0,0.011991173465269157,1,1,long,119.91173465269158,0.0981474865292768,981.474865292768,720.8875841498595,1,1
BAC,2025-11-11,2025-11-17,0.0038389696879415,0,0.8973021997540936,1,0.05252781535478151,1,1,long,525.2781535478151,0.0038389696879415,38.389696879415,759.2772810292745,1,1
BRK.B,2025-11-11,2025-11-17,0.0041387571878954,0,0.8803803001276922,1,0.0036831756892731675,1,1,long,36.831756892731676,0.0041387571878954,41.387571878954,800.6648529082285,1,1
CAT,2025-11-11,2025-11-17,0.0087740331432397,0,0.5362004131113752,1,0.020060200549237933,1,1,long,200.60200549237933,0.0087740331432397,87.740331432397,888.4051843406255,1,1
COST,2025-11-11,2025-11-17,-0.0339076416553705,1,0.6217920298607565,1,0.015231423568833904,1,1,long,152.31423568833904,-0.0339076416553705,-339.07641655370503,549.3287677869205,1,0
CSCO,2025-11-11,2025-11-17,-0.0247016612725802,1,0.27318719150087634,0,-0.009123768858443472,0,-1,short,-91.23768858443472,-0.0247016612725802,247.01661272580202,796.3453805127225,1,1
CVX,2025-11-11,2025-11-17,-0.0268472040490392,1,0.05051969637200515,0,0.01666938074721977,1,1,long,166.6938074721977,-0.0268472040490392,-268.472040490392,527.8733400223305,1,0
GE,2025-11-11,2025-11-17,-0.025160321962951,1,0.5945676088908644,1,0.08473267569219961,1,1,long,847.3267569219961,-0.025160321962951,-251.60321962951,276.27012039282044,1,0
