Date,Adj Close,Close,High,Low,Open,Volume,ticker,return_1d,return_5d,vol_ma_5,price_ma_5,price_ma_20,volatility_20,sp_return_1d,sp_return_5d,alpha_1d,alpha_5d,future_stock_return_5d,future_sp_return_5d,future_alpha_5d,label_abs_alpha_gt_1pct
2023-06-08,178.23760986328125,180.57000732421875,180.83999633789062,177.4600067138672,177.89999389648438,50214900,AAPL,0.01546507006295017,0.0026652520658922985,72190260.0,177.30580139160156,173.32736892700194,0.008621521537519156,0.0061886426142414575,0.01727311311309454,0.009276427448708713,-0.014607861047202242,0.030126924282037892,0.030720030966677303,-0.0005931066846394106,0
2023-06-09,178.62258911132812,180.9600067138672,182.22999572753906,180.6300048828125,181.5,48900000,AAPL,0.0021599215134346927,5.527286470541348e-05,69570880.0,177.30777587890626,173.69505767822267,0.008618364473681606,0.001148059539441082,0.003850612077542559,0.0010118619739936108,-0.0037953392128371455,0.02188317141072993,0.025757987929439397,-0.0038748165187094674,0
2023-06-12,181.41600036621094,183.7899932861328,183.88999938964844,180.97000122070312,181.27000427246094,54274900,AAPL,0.015638622577247352,0.023443617146552187,56036560.0,178.13890075683594,174.2488105773926,0.008927184921320473,0.009321148810237156,0.015241772787939478,0.0063174737670101955,0.008201844358612709,0.006638081249502159,0.011472824668649295,-0.004834743419147136,0
2023-06-13,180.94219970703125,183.30999755859375,184.14999389648438,182.44000244140625,182.8000030517578,54929100,AAPL,-0.0026116806578431184,0.022878112157662,54052700.0,178.94830627441405,174.80354995727538,0.008917153149701613,0.006932489951473775,0.01987923620748111,-0.009544170609316893,0.0029988759501808904,0.0035461453431322454,-0.000759857358266891,0.0043060027013991364,0
2023-06-14,181.57395935058594,183.9499969482422,184.38999938964844,182.02000427246094,183.3699951171875,57462900,AAPL,0.0034914997417827554,0.0344731030391503,53156360.0,180.1584716796875,175.38987731933594,0.008885193379873053,0.0008194255259321714,0.02462081577540931,0.002672074215850584,0.009852287263740989,0.01658059817148949,0.0021269529732004244,0.014453645198289067,1
2023-06-15,183.60736083984375,186.00999450683594,186.52000427246094,183.77999877929688,183.9600067138672,65433200,AAPL,0.01119875061672082,0.030126924282037892,56200020.0,181.232421875,176.0472755432129,0.0090558734856612,0.01217813742034668,0.030720030966677303,-0.000979386803625859,-0.0005931066846394106,0.003601711043363487,-0.017513007330000052,0.02111471837336354,1
2023-06-16,182.5314178466797,184.9199981689453,186.99000549316406,184.27000427246094,186.72999572753906,101256200,AAPL,-0.005860021015729244,0.02188317141072993,66671260.0,182.01418762207032,176.5343994140625,0.008984049630766152,-0.0036716195284263176,0.025757987929439397,-0.0021884014873029267,-0.0038748165187094674,0.0018928509120132997,-0.018316900753418297,0.020209751665431597,1
2023-06-20,182.62025451660156,185.00999450683594,186.10000610351562,184.41000366210938,184.41000366210938,49799100,AAPL,0.00048669248817478916,0.006638081249502159,65776100.0,182.25503845214843,177.02053680419922,0.008985894276435999,-0.0047351076976228645,0.011472824668649295,0.005221800185797654,-0.004834743419147136,0.016485685693280017,-0.002346886620254063,0.01883257231353408,1
2023-06-21,181.58384704589844,183.9600067138672,185.41000366210938,182.58999633789062,184.89999389648438,49515700,AAPL,-0.005675205488276824,0.0035461453431322454,64693420.0,182.38336791992188,177.50223388671876,0.008995402063404672,-0.005245281583003636,-0.000759857358266891,-0.00042992390527318847,0.0043060027013991364,0.02875613252428777,0.002558569670525479,0.02619756285376229,1
2023-06-22,184.58456420898438,187.0,187.0500030517578,183.6699981689453,183.74000549316406,51245300,AAPL,0.016525242811534113,0.01658059817148949,63449900.0,182.98548889160156,178.2642623901367,0.00844575809167131,0.003710798414438443,0.0021269529732004244,0.01281444439709567,0.014453645198289067,0.013850203696242458,0.003320440319938056,0.010529763376304402,1
2023-06-23,184.26866149902344,186.67999267578125,187.55999755859375,185.00999450683594,185.5500030517578,53117000,AAPL,-0.0017114253909296107,0.003601711043363487,60986660.0,183.1177490234375,178.99667663574218,0.008535044019969623,-0.007658808766684566,-0.017513007330000052,0.0059473833757549555,0.02111471837336354,0.03905109135457918,0.02346873463007748,0.0155823567245017,1
2023-06-26,182.87692260742188,185.27000427246094,188.0500030517578,185.22999572753906,186.8300018310547,48088700,AAPL,-0.007552770396657693,0.0018928509120132997,50353160.0,183.18684997558594,179.6027473449707,0.008901285726686229,-0.004486838293256468,-0.018316900753418297,-0.0030659321034012255,0.020209751665431597,0.0388080222130589,0.029285122661377727,0.009522899551681174,0
2023-06-27,185.63087463378906,188.05999755859375,188.38999938964844,185.6699981689453,185.88999938964844,50730800,AAPL,0.015059046199497939,0.016485685693280017,50539500.0,183.78897399902343,180.22609329223633,0.008963625156574999,0.011455854954693034,-0.002346886620254063,0.003603191244804904,0.01883257231353408,0.0173880163626583,0.015624316938671834,0.0017636994239864645,0
2023-06-28,186.8054962158203,189.25,189.89999389648438,187.60000610351562,187.92999267578125,51216800,AAPL,0.00632772745562149,0.02875613252428777,50879720.0,184.83330383300782,180.8158752441406,0.008833409137457044,-0.00035407668843834283,0.002558569670525479,0.006681804144059833,0.02619756285376229,0.013526992273219074,0.007934908028495391,0.005592084244723683,0
2023-06-29,187.14109802246094,189.58999633789062,190.07000732421875,188.94000244140625,189.0800018310547,46347300,AAPL,0.0017965306880098897,0.013850203696242458,49900120.0,185.34461059570313,181.4249038696289,0.008801176145096404,0.004473544672805918,0.003320440319938056,-0.0026770139847960284,0.010529763376304402,0.0057492046747358305,0.000570974229082033,0.0051782304456537975,0
2023-06-30,191.4645538330078,193.97000122070312,194.47999572753906,191.25999450683594,191.6300048828125,85213200,AAPL,0.023102652791039846,0.03905109135457918,56319360.0,186.7837890625,182.10994033813478,0.009453515033967979,0.012269004495714109,0.02346873463007748,0.010833648295325737,0.0155823567245017,-0.027633244050899397,-0.009179013641962164,-0.018454230408937233,1
2023-07-03,189.97401428222656,192.4600067138672,193.8800048828125,191.75999450683594,193.77999877929688,31458200,AAPL,-0.007784937320989838,0.0388080222130589,52993260.0,188.20320739746094,182.67800521850586,0.009793692522032268,0.0011706778016009611,0.029285122661377727,-0.008955615122590799,0.009522899551681174,-0.022757902182120593,-0.0036650766111038235,-0.01909282557101677,1
2023-07-05,188.85862731933594,191.3300018310547,192.97999572753906,190.6199951171875,191.57000732421875,46920300,AAPL,-0.005871260693757874,0.0173880163626583,52231160.0,188.8487579345703,183.25791778564454,0.009702846688899447,-0.0019683184132291975,0.015624316938671834,-0.003902942280528676,0.0017636994239864645,-0.008153404057303248,0.005698529068625335,-0.013851933125928584,1
2023-07-06,189.33241271972656,191.80999755859375,192.02000427246094,189.1999969482422,189.83999633789062,45094300,AAPL,0.0025086775601175226,0.013526992273219074,51006660.0,189.35414123535156,183.87977981567383,0.009625500865618152,-0.007922511336500904,0.007934908028495391,0.010431188896618426,0.005592084244723683,-0.006621164628977105,0.02231626211851423,-0.028937426747491335,1
2023-07-07,188.21701049804688,190.67999267578125,192.6699981689453,190.24000549316406,191.41000366210938,46815000,AAPL,-0.005891237562851148,0.0057492046747358305,51100200.0,189.56932373046874,184.51447372436525,0.009519708193906198,-0.0028651005386203243,0.000570974229082033,-0.003026137024230824,0.0051782304456537975,5.261455420724204e-05,0.024203439874348476,-0.024150825320141234,1
2023-07-10,186.17376708984375,188.61000061035156,189.99000549316406,187.0399932861328,189.25999450683594,59922200,AAPL,-0.01085578504725171,-0.027633244050899397,46042000.0,188.51116638183595,184.91128158569336,0.009603368347282806,0.002405026057131332,-0.009179013641962164,-0.013260811104383041,-0.018454230408937233,0.02852451470705386,0.02568533594840816,0.0028391787586456996,0
2023-07-11,185.65060424804688,188.0800018310547,189.3000030517578,186.60000610351562,189.16000366210938,46638100,AAPL,-0.0028100781864955904,-0.022757902182120593,49077980.0,187.646484375,185.2626823425293,0.009669192254552674,0.0067422110558885695,-0.0036650766111038235,-0.00955228924238416,-0.01909282557101677,0.030040360660216425,0.026067457403555983,0.003972903256660443,0
2023-07-12,187.31878662109375,189.77000427246094,191.6999969482422,188.47000122070312,189.67999267578125,60750200,AAPL,0.008985601634875495,-0.008153404057303248,51843960.0,187.33851623535156,185.55782165527344,0.009281051616157556,0.007411233485312474,0.005698529068625335,0.0015743681495630213,-0.013851933125928584,0.028086552400415687,0.020920551886541183,0.007166000513874504,0
2023-07-13,188.0788116455078,190.5399932861328,191.19000244140625,189.77999877929688,190.5,41342300,AAPL,0.0040573881462910855,-0.006621164628977105,51093560.0,187.08779602050782,185.91465225219727,0.009239859083977175,0.008470153458069118,0.02231626211851423,-0.004412765311778033,-0.028937426747491335,0.0135932103476466,0.005505511682810216,0.008087698664836385,0
2023-07-14,188.22691345214844,190.69000244140625,191.17999267578125,189.6300048828125,190.22999572753906,41616200,AAPL,0.0007874454615321991,5.261455420724204e-05,50053800.0,187.08977661132812,186.2472999572754,0.009236304700251254,-0.0010244071333035398,0.024203439874348476,0.001811852594835739,-0.024150825320141234,0.006555152919115015,0.006862827974119634,-0.0003076750550046192,0
2023-07-17,191.48428344726562,193.99000549316406,194.32000732421875,191.80999755859375,191.89999389648438,50520200,AAPL,0.017305548581634023,0.02852451470705386,48173400.0,188.1518798828125,186.6411460876465,0.009653457056523568,0.0038553825145495324,0.02568533594840816,0.01345016606708449,0.0028391787586456996,-0.006392084732037673,0.007042134916979803,-0.013434219649017476,1
2023-07-18,191.2276153564453,193.72999572753906,194.3300018310547,192.4199981689453,193.35000610351562,48288200,AAPL,-0.0013404133550782849,0.030040360660216425,48503420.0,189.26728210449218,187.07595596313476,0.00950796992169984,0.007117275205842377,0.026067457403555983,-0.008457688560920662,0.003972903256660443,-0.000567653501238774,0.0027398540766947477,-0.0033075075779335217,0
2023-07-19,192.57992553710938,195.10000610351562,198.22999572753906,192.64999389648438,193.10000610351562,80507300,AAPL,0.00707173060827726,0.028086552400415687,52454840.0,190.31950988769532,187.57393951416014,0.009553139685347574,0.002357910335732072,0.020920551886541183,0.004713820272545188,0.007166000513874504,-0.003075212120069226,0.00022554714432621026,-0.0033007592643954364,0
2023-07-20,190.63540649414062,193.1300048828125,196.47000122070312,192.5,195.08999633789062,59581200,AAPL,-0.010097205290455102,0.0135932103476466,56102620.0,190.83082885742186,188.02651748657226,0.009805071237993637,-0.006756896218903741,0.005505511682810216,-0.0033403090715513617,0.008087698664836385,0.00046592295086345104,0.0005601128581109727,-9.418990724752163e-05,0
2023-07-21,189.4607696533203,191.94000244140625,194.97000122070312,191.22999572753906,194.10000610351562,71951700,AAPL,-0.006161692953173481,0.006555152919115015,62169720.0,191.07760009765624,188.27032775878905,0.009398635082135148,0.0003240945218980773,0.006862827974119634,-0.006485787475071558,-0.0003076750550046192,0.02026657912724361,0.010116115260186298,0.010150463867057313,1
2023-07-24,190.2602996826172,192.75,194.91000366210938,192.25,193.41000366210938,45377800,AAPL,0.004220029459184982,-0.006392084732037673,61141240.0,190.83280334472656,188.56990966796874,0.009390651248229026,0.004034153877153557,0.007042134916979803,0.00018587558203142507,-0.013434219649017476,0.01919568038846098,0.0075351341024880725,0.011660546285972906,1
2023-07-25,191.1190643310547,193.6199951171875,194.44000244140625,192.9199981689453,193.3300018310547,37283200,AAPL,0.004513630273210278,-0.000567653501238774,58940240.0,190.81109313964845,188.98201675415038,0.00915338399538455,0.002814673351556163,0.0027398540766947477,0.0016989569216541156,-0.0033075075779335217,0.010277777267694077,0.00202957871782794,0.008248198549866137,0
2023-07-26,191.98770141601562,194.5,195.63999938964844,193.32000732421875,193.6699981689453,47471900,AAPL,0.004545004905718297,-0.003075212120069226,52333160.0,190.6926483154297,189.29985809326172,0.00866782290199164,-0.00015543889679858758,0.00022554714432621026,0.004700443802516885,-0.0033007592643954364,-0.009871479385088588,-0.011684428374938438,0.0018129489898498496,0
