ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
HPE,2026-01-01,2026-03-31,0.0101883805995823,1,0.7624013065717822,1,1,0.03980940658289689,1,1,long,398.0940658289689,0.0101883805995823,101.88380599582301,-7597.543348459166,1,1
HST,2026-01-01,2026-03-31,-0.0102450437741057,1,0.7359018376355665,1,1,0.011866520037088886,1,1,long,118.66520037088885,-0.0102450437741057,-102.450437741057,-7699.9937862002225,1,0
HSY,2026-01-01,2026-03-31,-0.0336593517507988,1,0.6101228289427914,1,1,0.008560512957883133,1,1,long,85.60512957883134,-0.0336593517507988,-336.593517507988,-8036.58730370821,1,0
HUM,2026-01-01,2026-03-31,0.1052329918550645,1,0.64795007951166,1,1,0.020352232489862714,1,1,long,203.52232489862715,0.1052329918550645,1052.329918550645,-6984.257385157565,1,1
HWM,2026-01-01,2026-03-31,0.0458362753143883,1,0.595771213114564,1,1,0.0019049857532793754,1,0,flat,19.049857532793755,0.0458362753143883,0.0,-6984.257385157565,0,0
IBKR,2026-01-01,2026-03-31,0.0391766572337697,1,0.6253859524419974,1,1,0.020362724346626955,1,1,long,203.62724346626956,0.0391766572337697,391.766572337697,-6592.490812819869,1,1
IBM,2026-01-01,2026-03-31,-0.0416322445328005,1,0.64346322712654,1,1,0.01444060111773774,1,1,long,144.4060111773774,-0.0416322445328005,-416.32244532800496,-7008.813258147873,1,0
ICE,2026-01-01,2026-03-31,0.027872824157433,1,0.6263846445765193,1,1,0.014274659613433785,1,1,long,142.74659613433786,0.027872824157433,278.72824157433,-6730.085016573543,1,1
IDXX,2026-01-01,2026-03-31,0.0143516271797359,1,0.6131697981310131,1,1,0.017170133995938867,1,1,long,171.70133995938866,0.0143516271797359,143.516271797359,-6586.568744776184,1,1
IEX,2026-01-01,2026-03-31,0.0048372932234326,0,0.6225734035805541,1,1,0.020972548757452768,1,1,long,209.72548757452768,0.0048372932234326,48.372932234326,-6538.195812541858,1,1
INCY,2026-01-01,2026-03-31,-0.0201448972863493,1,0.7111371244075775,1,1,0.017026915839916053,1,1,long,170.26915839916055,-0.0201448972863493,-201.448972863493,-6739.64478540535,1,0
INTC,2026-01-01,2026-03-31,0.296875312758557,1,0.8183099172848902,1,1,0.008776882021181152,1,1,long,87.76882021181152,0.296875312758557,2968.75312758557,-3770.8916578197804,1,1
IP,2026-01-01,2026-03-31,-0.000575321525793,0,0.8623955027881255,1,1,0.0026481805451059465,1,0,flat,26.481805451059465,-0.000575321525793,-0.0,-3770.8916578197804,0,0
IQV,2026-01-01,2026-03-31,-0.0272231864951086,1,0.6796205048709615,1,1,0.021833474184172825,1,1,long,218.33474184172826,-0.0272231864951086,-272.231864951086,-4043.1235227708667,1,0
ISRG,2026-01-01,2026-03-31,-0.0361522969879541,1,0.573230232037029,1,1,0.009722137756801337,1,1,long,97.22137756801338,-0.0361522969879541,-361.522969879541,-4404.646492650408,1,0
IT,2026-01-01,2026-03-31,-0.0954114382498451,1,0.7121655932877335,1,1,0.024514664337914837,1,1,long,245.14664337914837,-0.0954114382498451,-954.114382498451,-5358.760875148859,1,0
ITW,2026-01-01,2026-03-31,-0.0035286081245722,0,0.5790984398451932,1,1,0.010451010012591728,1,1,long,104.51010012591728,-0.0035286081245722,-35.286081245722,-5394.046956394581,1,0
J,2026-01-01,2026-03-31,-0.0086237973739675,0,0.5473692568168944,1,1,0.01259022691658026,1,1,long,125.90226916580261,-0.0086237973739675,-86.237973739675,-5480.284930134256,1,0
JKHY,2026-01-01,2026-03-31,-0.0393302762159782,1,0.5055494756766679,1,1,0.02296351610965199,1,1,long,229.63516109651988,-0.0393302762159782,-393.302762159782,-5873.587692294038,1,0
JNJ,2026-01-01,2026-03-31,-0.051796326404724,1,0.6049134450939904,1,1,-0.000455596700773063,0,0,flat,-4.55596700773063,-0.051796326404724,-0.0,-5873.587692294038,0,0
JPM,2026-01-01,2026-03-31,0.013354604269578,1,0.6015254926855537,1,1,0.010713086021099542,1,1,long,107.13086021099542,0.013354604269578,133.54604269578,-5740.041649598258,1,1
KEY,2026-01-01,2026-03-31,0.022894831674513,1,0.6591243453019966,1,1,0.012633521383909396,1,1,long,126.33521383909395,0.022894831674513,228.94831674512997,-5511.093332853128,1,1
KEYS,2026-01-01,2026-03-31,0.0883999702464133,1,0.7429772778676755,1,1,0.025809631458365918,1,1,long,258.0963145836592,0.0883999702464133,883.999702464133,-4627.093630388996,1,1
KHC,2026-01-01,2026-03-31,-0.0184970617134361,1,0.7125188594433445,1,1,0.01746140718625996,1,1,long,174.61407186259962,-0.0184970617134361,-184.970617134361,-4812.064247523357,1,0
KIM,2026-01-01,2026-03-31,-0.0300498501365487,1,0.6997297500668644,1,1,-0.013421024085805503,0,0,flat,-134.21024085805504,-0.0300498501365487,-0.0,-4812.064247523357,0,0
KLAC,2026-01-01,2026-03-31,0.0968335000393343,1,0.7193047873254893,1,1,0.021895286063382213,1,1,long,218.95286063382213,0.0968335000393343,968.3350003933431,-3843.7292471300143,1,1
KMI,2026-01-01,2026-03-31,-0.0559503342034816,1,0.767120180288151,1,1,-0.003843928834406751,0,0,flat,-38.43928834406751,-0.0559503342034816,-0.0,-3843.7292471300143,0,0
KVUE,2026-01-01,2026-03-31,-0.0331501546853958,1,0.7678887856079796,1,1,-0.0132666919795259,0,0,flat,-132.666919795259,-0.0331501546853958,-0.0,-3843.7292471300143,0,0
LDOS,2026-01-01,2026-03-31,-0.0060288625280688,0,0.5213614158579886,1,1,0.01716870324389646,1,1,long,171.6870324389646,-0.0060288625280688,-60.288625280688,-3904.0178724107022,1,0
LEN,2026-01-01,2026-03-31,-0.018337980827171,1,0.7116605070871649,1,1,0.006007084147181978,1,0,flat,60.070841471819776,-0.018337980827171,-0.0,-3904.0178724107022,0,0
