Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker
2025-07-24,0.0006982236416543,0.0104790318177268,0.15095638212186402,1,10000.0,6.9822364165429995,1509.5638212186402,long,1,^GSPC
2025-07-25,0.0039743277792958,0.014586812818349,0.1555306600440889,1,10000.0,39.743277792958004,1555.3066004408888,long,1,^GSPC
2025-07-28,0.0001768581088181,0.0133484395729892,0.15573502501130565,1,10000.0,1.768581088181,1557.3502501130565,long,1,^GSPC
2025-07-29,-0.0029594423887242,0.0097057738748695,0.15231469378815388,1,10000.0,-29.594423887242,1523.1469378815389,long,1,^GSPC
2025-07-30,-0.0012494327466496,0.0006274260833563,0.1508749540752894,1,10000.0,-12.494327466496,1508.7495407528938,long,1,^GSPC
2025-07-31,-0.003694819341153,-0.0037653060997421,0.14662267903572346,1,10000.0,-36.94819341153,1466.2267903572347,long,1,^GSPC
2025-08-01,-0.0159921331401484,-0.0235778456557602,0.12828573649107056,1,10000.0,-159.921331401484,1282.8573649107057,long,1,^GSPC
2025-08-04,0.014737100330916,-0.0093634165145413,0.1449133965916809,1,10000.0,147.37100330916002,1449.133965916809,long,1,^GSPC
2025-08-05,-0.0048578659963033,-0.0112496465803734,0.13935156073366595,1,10000.0,-48.578659963033,1393.5156073366595,long,1,^GSPC
2025-08-06,0.0072819072950924,-0.0028037284923229,0.14764821317544752,1,10000.0,72.819072950924,1476.4821317544752,long,1,^GSPC
2025-08-07,-0.0007974800154801,9.620220054262774e-05,0.1467329866606386,1,10000.0,-7.974800154801,1467.329866606386,long,1,^GSPC
2025-08-08,0.0077997153489748,0.0242770427391798,0.15567717753787136,1,10000.0,77.997153489748,1556.7717753787135,long,1,^GSPC
2025-08-11,-0.0025041278217863,0.0068737230224942,0.15278321416459528,1,10000.0,-25.041278217863002,1527.8321416459528,long,1,^GSPC
2025-08-12,0.0113454358466127,0.0232680432852656,0.1658620421659518,1,10000.0,113.45435846612699,1658.620421659518,long,1,^GSPC
2025-08-13,0.0032300788824048,0.0191519100542891,0.16962786852814937,1,10000.0,32.300788824048006,1696.2786852814938,long,1,^GSPC
2025-08-14,0.0003030908012924,0.0202744541108044,0.1699823719760356,1,10000.0,3.030908012924,1699.823719760356,long,1,^GSPC
2025-08-15,-0.0028971350972291,0.0094451959918671,0.16659277498304448,1,10000.0,-28.971350972291003,1665.9277498304448,long,1,^GSPC
2025-08-18,-0.0001007631807854,0.011877351310743,0.16647522538435577,1,10000.0,-1.0076318078539999,1664.7522538435578,long,1,^GSPC
2025-08-19,-0.0058581031187567,-0.0053352358275743,0.15964189322857925,1,10000.0,-58.581031187567,1596.4189322857924,long,1,^GSPC
