ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
LITE,2025-12-30,2026-01-05,-0.0590147342614483,1,0.6764876150762759,1,1,0.0332347932465622,1,1,0.2,-0.0590147342614483,-0.01180294685228966,1,5,0,5,0,long,0
AZO,2025-12-30,2026-01-05,0.0670321636027573,1,0.5804012452876239,1,1,0.0259869379502456,1,1,0.2,0.0670321636027573,0.01340643272055146,1,5,0,5,0,long,1
CIEN,2025-12-30,2026-01-05,0.0036535141971933,0,0.6507534111490684,1,1,0.025278551901228,1,1,0.2,0.0036535141971933,0.00073070283943866,1,5,0,5,0,long,1
SNA,2025-12-30,2026-01-05,0.0002254611903376,0,0.5175849908752803,1,1,0.025133581761338,1,1,0.2,0.0002254611903376,4.5092238067520004e-05,1,5,0,5,0,long,1
JBL,2025-12-30,2026-01-05,0.0210565746569166,1,0.6154192632549564,1,1,0.0246875827418913,1,1,0.2,0.0210565746569166,0.00421131493138332,1,5,0,5,0,long,1
LITE,2026-01-06,2026-01-12,0.0757582487222521,1,0.7553993705997405,1,1,0.0325779665194441,1,1,0.2,0.0757582487222521,0.015151649744450421,1,5,0,5,0,long,1
FSLR,2026-01-06,2026-01-12,0.0438528825720549,1,0.642669160829203,1,1,0.0300921194876721,1,1,0.2,0.0438528825720549,0.00877057651441098,1,5,0,5,0,long,1
VLO,2026-01-06,2026-01-12,0.0543057659745864,1,0.6310460974663458,1,1,0.0278482368909949,1,1,0.2,0.0543057659745864,0.01086115319491728,1,5,0,5,0,long,1
COHR,2026-01-06,2026-01-12,0.0705701697935929,1,0.6538165321861649,1,1,0.0265137062254629,1,1,0.2,0.0705701697935929,0.014114033958718582,1,5,0,5,0,long,1
CIEN,2026-01-06,2026-01-12,0.0555247834290519,1,0.6895208911578468,1,1,0.0263026786970163,1,1,0.2,0.0555247834290519,0.01110495668581038,1,5,0,5,0,long,1
LITE,2026-01-13,2026-01-16,0.0238165150421909,1,0.7621680599783558,1,1,0.0359977229070642,1,1,0.2,0.0238165150421909,0.004763303008438181,1,5,0,5,0,long,1
APP,2026-01-13,2026-01-16,-0.0600562485786498,1,0.712517444526194,1,1,0.0304589861714556,1,1,0.2,-0.0600562485786498,-0.012011249715729961,1,5,0,5,0,long,0
WDC,2026-01-13,2026-01-16,0.0858372564555589,1,0.7198869454669614,1,1,0.0276874073416685,1,1,0.2,0.0858372564555589,0.01716745129111178,1,5,0,5,0,long,1
VST,2026-01-13,2026-01-16,-0.0482313576193997,1,0.7004828052419992,1,1,0.0266767992059582,1,1,0.2,-0.0482313576193997,-0.00964627152387994,1,5,0,5,0,long,0
CEG,2026-01-13,2026-01-16,-0.0743984741437664,1,0.7119564504799493,1,1,0.0212090708597168,1,1,0.2,-0.0743984741437664,-0.01487969482875328,1,5,0,5,0,long,0
INTC,2026-01-20,2026-01-26,0.144969774536227,1,0.7609027075490178,1,1,0.0369038632354309,1,1,0.2,0.144969774536227,0.028993954907245403,1,5,0,5,0,long,1
STX,2026-01-20,2026-01-26,0.2046076083140253,1,0.7158186563068425,1,1,0.0254946554294727,1,1,0.2,0.2046076083140253,0.04092152166280506,1,5,0,5,0,long,1
LITE,2026-01-20,2026-01-26,0.2698640341141902,1,0.7087544174350774,1,1,0.0240941033813782,1,1,0.2,0.2698640341141902,0.05397280682283804,1,5,0,5,0,long,1
MU,2026-01-20,2026-01-26,0.1214184522103567,1,0.6659273639512534,1,1,0.0205340666796956,1,1,0.2,0.1214184522103567,0.02428369044207134,1,5,0,5,0,long,1
BLDR,2026-01-20,2026-01-26,-0.0534397366021767,1,0.6327516907248041,1,1,0.0186263476457438,1,1,0.2,-0.0534397366021767,-0.010687947320435341,1,5,0,5,0,long,0
HUM,2026-01-27,2026-02-02,0.0138985219474634,1,0.7621831308718611,1,1,0.0458307166885365,1,1,0.2,0.0138985219474634,0.0027797043894926803,1,5,0,5,0,long,1
MRNA,2026-01-27,2026-02-02,-0.0124353992059623,1,0.7286641714443272,1,1,0.0403682915449444,1,1,0.2,-0.0124353992059623,-0.0024870798411924604,1,5,0,5,0,long,0
UNH,2026-01-27,2026-02-02,-0.0329643872249358,1,0.7051890306238302,1,1,0.0313033245239639,1,1,0.2,-0.0329643872249358,-0.0065928774449871596,1,5,0,5,0,long,0
APP,2026-01-27,2026-02-02,-0.0451666652619537,1,0.7611453624380851,1,1,0.0306163074204486,1,1,0.2,-0.0451666652619537,-0.00903333305239074,1,5,0,5,0,long,0
VST,2026-01-27,2026-02-02,-0.0066968554941979,0,0.7021277999755103,1,1,0.0257994030802062,1,1,0.2,-0.0066968554941979,-0.0013393710988395802,1,5,0,5,0,long,0
HUM,2026-02-03,2026-02-09,-0.0062887744174626,0,0.7143638278986192,1,1,0.0178051968638093,1,1,0.2,-0.0062887744174626,-0.00125775488349252,1,5,0,5,0,long,0
IT,2026-02-03,2026-02-09,-0.0041371072843757,0,0.661907100090942,1,1,0.015299506547463,1,1,0.2,-0.0041371072843757,-0.0008274214568751401,1,5,0,5,0,long,0
GLW,2026-02-03,2026-02-09,0.0108376213716634,1,0.738151345194257,1,1,0.015159052748409,1,1,0.2,0.0108376213716634,0.00216752427433268,1,5,0,5,0,long,1
ORCL,2026-02-03,2026-02-09,0.0007274976934146,0,0.7098881240727364,1,1,0.0141720537475245,1,1,0.2,0.0007274976934146,0.00014549953868292,1,5,0,5,0,long,1
Q,2026-02-03,2026-02-09,0.0815276394072007,1,0.6761264075915594,1,1,0.0140912016660677,1,1,0.2,0.0815276394072007,0.01630552788144014,1,5,0,5,0,long,1
MRNA,2026-02-10,2026-02-13,0.1906284780883429,1,0.7310986508365979,1,1,0.027603727885624,1,1,0.2,0.1906284780883429,0.038125695617668584,1,5,0,5,0,long,1
TYL,2026-02-10,2026-02-13,0.0441525924674479,1,0.7133585072145396,1,1,0.0240142987088808,1,1,0.2,0.0441525924674479,0.00883051849348958,1,5,0,5,0,long,1
NCLH,2026-02-10,2026-02-13,0.0928354085706069,1,0.7191549996276116,1,1,0.0218165383920005,1,1,0.2,0.0928354085706069,0.018567081714121383,1,5,0,5,0,long,1
PYPL,2026-02-10,2026-02-13,0.0930921545556413,1,0.8108791588533477,1,1,0.0202509469945251,1,1,0.2,0.0930921545556413,0.018618430911128258,1,5,0,5,0,long,1
HUM,2026-02-10,2026-02-13,-0.0162006976795153,1,0.7003469335479521,1,1,0.0185129453266776,1,1,0.2,-0.0162006976795153,-0.0032401395359030606,1,5,0,5,0,long,0
PYPL,2026-02-17,2026-02-23,0.0294525262467415,1,0.731960843441488,1,1,0.0427465241801559,1,1,0.2,0.0294525262467415,0.0058905052493483,1,5,0,5,0,long,1
RCL,2026-02-17,2026-02-23,-0.0123635469717467,1,0.7092566939665116,1,1,0.0291193506384619,1,1,0.2,-0.0123635469717467,-0.00247270939434934,1,5,0,5,0,long,0
DDOG,2026-02-17,2026-02-23,0.0763693260433695,1,0.7993313897467939,1,1,0.0275998212296874,1,1,0.2,0.0763693260433695,0.015273865208673902,1,5,0,5,0,long,1
IT,2026-02-17,2026-02-23,0.0922252480722172,1,0.6933493861870987,1,1,0.0218266089622769,1,1,0.2,0.0922252480722172,0.018445049614443442,1,5,0,5,0,long,1
ARES,2026-02-17,2026-02-23,-0.0169770371713522,1,0.7509444841469838,1,1,0.0181295304435234,1,1,0.2,-0.0169770371713522,-0.0033954074342704404,1,5,0,5,0,long,0
AES,2026-02-24,2026-03-02,0.011035781982371,1,0.7594411660719945,1,1,0.0528160398725675,1,1,0.2,0.011035781982371,0.0022071563964742003,1,5,0,5,0,long,1
NCLH,2026-02-24,2026-03-02,-0.0538327046520781,1,0.7205135693065071,1,1,0.0453862609956597,1,1,0.2,-0.0538327046520781,-0.010766540930415621,1,5,0,5,0,long,0
CCL,2026-02-24,2026-03-02,-0.0819287255029773,1,0.7245693705447972,1,1,0.0279263394014173,1,1,0.2,-0.0819287255029773,-0.016385745100595463,1,5,0,5,0,long,0
EL,2026-02-24,2026-03-02,-0.063013408612907,1,0.7333331162694057,1,1,0.0275686047773464,1,1,0.2,-0.063013408612907,-0.0126026817225814,1,5,0,5,0,long,0
PLTR,2026-02-24,2026-03-02,0.0900074719019142,1,0.7429555144449064,1,1,0.0215125106907394,1,1,0.2,0.0900074719019142,0.01800149438038284,1,5,0,5,0,long,1
NCLH,2026-03-03,2026-03-09,-0.0277928544506724,1,0.721698003954798,1,1,0.025980926149832,1,1,0.2,-0.0277928544506724,-0.0055585708901344805,1,5,0,5,0,long,0
GLW,2026-03-03,2026-03-09,0.0374625902997266,1,0.7289491309846842,1,1,0.0232853658217657,1,1,0.2,0.0374625902997266,0.0074925180599453205,1,5,0,5,0,long,1
VRT,2026-03-03,2026-03-09,0.0156910487119946,1,0.7156583653271659,1,1,0.0220236132657248,1,1,0.2,0.0156910487119946,0.0031382097423989204,1,5,0,5,0,long,1
BAX,2026-03-03,2026-03-09,-0.0321270340873188,1,0.7031028219341064,1,1,0.0207700374039178,1,1,0.2,-0.0321270340873188,-0.00642540681746376,1,5,0,5,0,long,0
TTD,2026-03-03,2026-03-09,-0.0376049259472438,1,0.7007448763921338,1,1,0.0183615318688963,1,1,0.2,-0.0376049259472438,-0.0075209851894487605,1,5,0,5,0,long,0
CIEN,2026-03-10,2026-03-16,0.1386441903342724,1,0.7120426098664686,1,1,0.0248546513671004,1,1,0.2,0.1386441903342724,0.02772883806685448,1,5,0,5,0,long,1
SMCI,2026-03-10,2026-03-16,-0.3049913853716198,1,0.6627163147448542,1,1,0.0199977307595403,1,1,0.2,-0.3049913853716198,-0.06099827707432396,1,5,0,5,0,long,0
AES,2026-03-10,2026-03-16,0.0092195784149164,0,0.6568322488445533,1,1,0.0199215598872416,1,1,0.2,0.0092195784149164,0.0018439156829832802,1,5,0,5,0,long,1
LITE,2026-03-10,2026-03-16,0.1842888984653504,1,0.6878274532478627,1,1,0.0172990045894238,1,1,0.2,0.1842888984653504,0.03685777969307008,1,5,0,5,0,long,1
